Instrument,Indicator,Manual/reference region,Region start/cutoff boundary,Region end,Region n,Observed occupied start,Observed occupied end,Observed occupied width,Occupied width ratio,Regional median,Regional KDE peak,Median position ratio,Peak position ratio,Median-to-cutoff distance ratio,Peak-to-cutoff distance ratio,Peak-to-median absolute distance,Peak-to-median distance ratio,Regional unique values,Unique value ratio,Regional tie proportion (%),Regional IQR,Regional IQR ratio,Lower-half n (<= regional median),Upper-half n (> regional median),Lower-half unique values,Upper-half unique values,Lower-half tie proportion (%),Upper-half tie proportion (%),Lower/upper n ratio,Lower/upper unique ratio,Lower-upper tie difference,Regional skewness,Regional kurtosis,Regional Shapiro-Wilk p,Regional D'Agostino-Pearson p,Regional normality flag,Whole-indicator normality flag,Regional-vs-indicator normality mismatch,KDE peak count,KDE multimodality signal,Table IV saturation status,Heterogeneity evidence count,Heterogeneity evidence flags present,Structural heterogeneity status,Heterogeneity interpretation
BDI-II,BDI-II,14 to <20,14.0,20.0,68,14.0,19.0,5.0,0.8333333333333334,16.0,14.750187546886721,0.3333333333333333,0.12503125781445354,0.3333333333333333,0.12503125781445354,1.2498124531132788,0.2083020755188798,6,0.08823529411764706,100.0,3.0,0.5,36,32,3,3,100.0,100.0,1.125,1.0,0.0,0.09126813618000483,-1.3073071929501041,4.1739978769328445e-05,4.774280276808681e-07,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,1,Single dominant peak,Structurally saturated,4,Broad occupied width; High regional IQR ratio; Median displaced from cutoff; Peak-median separation,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
BDI-II,BDI-II,20 to <29,20.0,29.0,78,20.0,28.0,8.0,0.8888888888888888,24.0,26.113528382095524,0.4444444444444444,0.6792809313439471,0.4444444444444444,0.6792809313439471,2.1135283820955237,0.23483648689950265,9,0.11538461538461539,100.0,4.75,0.5277777777777778,43,35,5,4,100.0,100.0,1.2285714285714286,1.25,0.0,-0.022868733567696288,-1.296134229268826,0.0001921347138704732,2.8323436107012354e-08,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,2,Possible multimodality,Structurally saturated,5,Broad occupied width; High regional IQR ratio; Median displaced from cutoff; Peak-median separation; Possible multimodality,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
BDI-II,BDI-II,>=29,29.0,63.0,47,29.0,42.0,13.0,0.38235294117647056,33.0,33.15778944736184,0.11764705882352941,0.12228792492240714,0.11764705882352941,0.12228792492240714,0.15778944736184286,0.004640866098877731,10,0.2127659574468085,97.87234042553192,4.0,0.11764705882352941,24,23,5,5,100.0,95.65217391304348,1.0434782608695652,1.0,4.347826086956516,0.804159950791635,-0.07314986869800455,0.0005427512805908918,0.07962890494425871,"Mixed normality results (Shapiro-Wilk non-normal, D'Agostino-Pearson approximately normal)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,2,Possible multimodality,Structurally saturated,1,Possible multimodality,Structurally homogeneous/compressed dominant,The region is dominated by compression/saturation indicators with insufficient heterogeneity evidence.
MM-CGI-SF,MMCGI-HSL,>=25.2,25.2,30.0,67,26.0,29.0,3.0,0.6249999999999999,27.0,27.957239309827457,0.3750000000000001,0.5744248562140537,0.3750000000000001,0.5744248562140537,0.9572393098274574,0.1994248562140536,4,0.05970149253731343,100.0,2.0,0.41666666666666663,35,32,2,2,100.0,100.0,1.09375,1.0,0.0,0.0753347411800039,-1.254626892197629,2.3545412659586873e-06,1.0588869515808372e-05,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,2,Possible multimodality,Structurally saturated,5,Broad occupied width; High regional IQR ratio; Median displaced from Threshold/Reference; Peak-median separation; Possible multimodality,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
MM-CGI-SF,MMCGI-PSB,>=25.5,25.5,30.0,73,26.0,29.0,3.0,0.6666666666666666,27.0,27.96999249812453,0.3333333333333333,0.548887221805451,0.3333333333333333,0.548887221805451,0.9699924981245296,0.21555388847211768,4,0.0547945205479452,100.0,2.0,0.4444444444444444,42,31,2,2,100.0,100.0,1.3548387096774193,1.0,0.0,0.04012019699794249,-1.1167610367189151,3.7981050127200433e-07,0.0005171203018934566,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,3,Possible multimodality,Structurally saturated,5,Broad occupied width; High regional IQR ratio; Median displaced from Threshold/Reference; Peak-median separation; Possible multimodality,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
MM-CGI-SF,MMCGI-WFI,>=21.8,21.8,30.0,112,22.0,29.0,7.0,0.853658536585366,24.0,22.554888722180547,0.26829268292682923,0.09205960026592024,0.26829268292682923,0.09205960026592024,1.4451112778194535,0.17623308266090898,8,0.07142857142857142,100.0,5.0,0.6097560975609757,61,51,3,5,100.0,100.0,1.196078431372549,0.6,0.0,0.4189767894123372,-1.1368823470420044,1.5952463172652642e-07,5.641662245520734e-08,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,2,Possible multimodality,Structurally saturated,5,Broad occupied width; High regional IQR ratio; Median displaced from Threshold/Reference; Peak-median separation; Possible multimodality,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
PANAS,PANAS-NA,>=24,24.0,50.0,146,24.0,44.0,20.0,0.7692307692307693,30.0,25.62040510127532,0.23076923076923078,0.06232327312597386,0.23076923076923078,0.06232327312597386,4.3795948987246796,0.1684459576432569,17,0.11643835616438356,98.63013698630137,7.0,0.2692307692307692,81,65,7,10,100.0,96.92307692307692,1.2461538461538462,0.7,3.07692307692308,0.6398552963784484,0.2446676446201388,1.997866320380126e-06,0.007552590634343631,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,2,Possible multimodality,Structurally saturated,4,Broad occupied width; High regional IQR ratio; Peak-median separation; Possible multimodality,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
PANAS,PANAS-PA Severity_Aligned,>=32.9,32.9,50.0,122,33.0,46.0,13.0,0.7602339181286549,37.0,34.456364091022756,0.2397660818713451,0.09101544391945951,0.2397660818713451,0.09101544391945951,2.543635908977244,0.1487506379518856,14,0.11475409836065574,100.0,5.0,0.29239766081871343,74,48,5,9,100.0,100.0,1.5416666666666667,0.5555555555555556,0.0,0.7216712809270482,-0.1743799479901984,1.651978777772456e-06,0.007816833423422553,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,1,Single dominant peak,Structurally saturated,3,Broad occupied width; High regional IQR ratio; Lower/upper median-split asymmetry,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
ZBI,ZBI,21 to <41,21.0,41.0,124,21.0,40.0,19.0,0.95,33.0,34.246311577894474,0.6,0.6623155788947237,0.6,0.6623155788947237,1.246311577894474,0.0623155788947237,20,0.16129032258064516,99.19354838709677,8.0,0.4,68,56,13,7,98.52941176470588,100.0,1.2142857142857142,1.8571428571428572,-1.470588235294116,-0.36657591871160344,-0.8092889474834335,0.0001327138306805864,0.0032466227696534987,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,1,Single dominant peak,Structurally saturated,3,Broad occupied width; High regional IQR ratio; Median displaced from cutoff,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
ZBI,ZBI,41 to <61,41.0,61.0,149,41.0,60.0,19.0,0.95,51.0,53.63815953988497,0.5,0.6319079769942484,0.5,0.6319079769942484,2.638159539884967,0.13190797699424833,20,0.1342281879194631,100.0,9.0,0.45,76,73,11,9,100.0,100.0,1.0410958904109588,1.2222222222222223,0.0,-0.1700622642439692,-1.1322887286693677,2.4169834432541393e-05,2.2743001642563785e-10,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)","Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",False,2,Possible multimodality,Structurally saturated,4,Broad occupied width; High regional IQR ratio; Median displaced from cutoff; Possible multimodality,Mixed structural pattern - saturation plus heterogeneity,The region shows both compression/saturation and meaningful internal dispersion; visible homogeneity should not be interpreted as true uniformity.
